order_number,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,state,state_name,us_region,lat,lon,budget
SO - 0007956,2017-01-01,Aldi Ltd,Distributor,Product 25,9,877.7,7899.3,737.268,SD,South Dakota,Midwest,44.08054,-103.23101,5342315.484
SO - 0009514,2017-01-01,Camido Company,Wholesale,Product 19,11,904.5,9949.5,587.9250000000001,GA,Georgia,South,32.46098,-84.98771,1645841.6
SO - 0008126,2017-01-01,Mylan Corp,Wholesale,Product 4,8,3276.3,26210.4,2588.277,IL,Illinois,Midwest,41.86177,-87.9761,2885560.824
SO - 0008167,2017-01-01,Dynazzy Company,Distributor,Product 14,5,3892.7000000000003,19463.5,3075.233,CA,California,West,33.93029,-118.21146,4028698.4090000005
SO - 000298,2017-01-02,Neutrogena Ltd,Distributor,Product 19,8,3899.4,31195.2,2027.688,IL,Illinois,Midwest,39.79106,-89.64457,1645841.6
SO - 0002724,2017-01-02,Epic Group,Wholesale,Product 2,5,234.5,1172.5,117.25,FL,Florida,South,25.79065,-80.13005,3050087.565
SO - 0002908,2017-01-02,Remedy Ltd,Export,Product 6,10,1072.0,10720.0,428.8,WY,Wyoming,West,42.86663,-106.31308,1672229.416
SO - 0004368,2017-01-02,Bluezoom Group,Distributor,Product 25,8,3839.1,30712.8,1996.332,MI,Michigan,Midwest,42.56923,-83.38727,5342315.484
SO - 0005705,2017-01-02,Centizu Company,Wholesale,Product 11,10,1963.1000000000001,19631.0,863.764,WI,Wisconsin,Midwest,44.27795,-88.38826,1230458.484
SO - 0007404,2017-01-02,Oba Company,Wholesale,Product 26,9,5936.2,53425.799999999996,3561.72,NC,North Carolina,South,35.78088,-78.81327,5685138.2700000005
SO - 0008748,2017-01-02,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,VA,Virginia,South,37.55376,-77.46026,889737.555
SO - 0002435,2017-01-02,Bath Group,Wholesale,Product 5,8,1031.8,8254.4,443.674,CA,California,West,38.61713,-121.32828,3925424.5420000004
SO - 0004041,2017-01-02,Deseret Group,Wholesale,Product 4,5,2592.9,12964.5,1218.663,VA,Virginia,South,38.63706,-77.31109,2885560.824
SO - 0004738,2017-01-02,Cogidoo Company,Wholesale,Product 20,7,837.5,5862.5,644.875,CA,California,West,34.57943,-118.11646,2067108.1199999999
SO - 0005552,2017-01-02,Vimbo Company,Export,Product 21,7,3189.2000000000003,22324.4,2647.036,MI,Michigan,Midwest,42.49982,-83.00549,959899.2180000001
SO - 0008746,2017-01-02,Cantrell Company,Distributor,Product 16,10,2244.5,22445.0,920.2449999999999,WA,Washington,West,47.65878,-117.42605,2062061.144
SO - 0009209,2017-01-02,Twimbo Company,Wholesale,Product 25,12,207.70000000000002,2492.4,85.157,NY,New York,Northeast,40.75,-73.86667,5342315.484
SO - 0009420,2017-01-02,CLINIQUE Ltd,Wholesale,Product 12,5,5286.3,26431.5,3013.191,CA,California,West,36.67774,-121.6555,1356976.996
SO - 000962,2017-01-02,Neutrogena Ltd,Wholesale,Product 4,9,837.5,7537.5,644.875,FL,Florida,South,26.71534,-80.05337,2885560.824
SO - 0001665,2017-01-02,Golden Corp,Export,Product 16,6,824.1,4944.6,659.2800000000001,IN,Indiana,Midwest,39.87632,-86.14291,2062061.144
SO - 0001933,2017-01-02,Cogilith Group,Distributor,Product 13,6,254.6,1527.6,216.41,CA,California,West,33.66946,-117.82311,3720639.645
SO - 0003799,2017-01-02,Ascend Ltd,Distributor,Product 15,6,1045.2,6271.200000000001,616.668,IN,Indiana,Midwest,39.77186,-86.26094,3299478.315
SO - 0004235,2017-01-02,SAFEWAY Ltd,Wholesale,Product 8,9,4006.6,36059.4,1802.97,IL,Illinois,Midwest,42.04114,-87.69006,1085037.3290000001
SO - 0005690,2017-01-02,Zoonoodle Ltd,Wholesale,Product 13,5,804.0,4020.0,683.4,FL,Florida,South,28.5641,-81.2114,3720639.645
SO - 0009993,2017-01-02,Skyvu Group,Wholesale,Product 1,11,3872.6,42598.6,1665.2179999999998,CA,California,West,33.96085,-118.04173,3016489.209
SO - 0001424,2017-01-02,Nlounge Ltd,Distributor,Product 19,7,1688.4,11818.800000000001,844.2,GA,Georgia,South,32.46098,-84.98771,1645841.6
SO - 0003399,2017-01-02,Linklinks Ltd,Distributor,Product 4,9,1072.0,9648.0,814.72,PA,Pennsylvania,Northeast,40.10622,-74.94364,2885560.824
SO - 0005388,2017-01-02,CARDINAL Group,Export,Product 18,5,167.5,837.5,105.525,KS,Kansas,Midwest,39.11417,-94.62746,2309499.045
SO - 0006164,2017-01-02,SAFEWAY Ltd,Distributor,Product 12,10,3979.8,39798.0,3303.234,FL,Florida,South,28.01057,-82.57732,1356976.996
SO - 0007186,2017-01-02,Chatterbri Ltd,Distributor,Product 14,6,2251.2000000000003,13507.2,1508.3040000000003,MA,Massachusetts,Northeast,42.1487,-72.60787,4028698.4090000005
SO - 0007332,2017-01-02,Blogspan Ltd,Wholesale,Product 3,6,5889.3,35335.8,4711.4400000000005,MI,Michigan,Midwest,42.33698,-83.27326,2642352.432
SO - 0007607,2017-01-02,Snaptags Ltd,Distributor,Product 5,11,2860.9,31469.9,1316.0140000000001,IN,Indiana,Midwest,40.04559,-86.0086,3925424.5420000004
SO - 0008254,2017-01-02,Jabbercube Corp,Wholesale,Product 16,8,1031.8,8254.4,815.122,PA,Pennsylvania,Northeast,40.10622,-74.94364,2062061.144
SO - 0001891,2017-01-02,Skyvu Group,Distributor,Product 14,12,3926.2000000000003,47114.4,2669.8160000000003,CA,California,West,33.52253,-117.70755,4028698.4090000005
SO - 0002187,2017-01-02,MEIJER Corp,Distributor,Product 18,11,3979.8,43777.8,1989.9,CA,California,West,38.58157,-121.4944,2309499.045
SO - 0002601,2017-01-02,Voonyx Group,Wholesale,Product 20,12,6137.2,73646.4,3375.46,CA,California,West,33.87224,-117.87034,2067108.1199999999
SO - 0005600,2017-01-02,Cadila Ltd,Wholesale,Product 25,7,971.5,6800.5,505.18,TX,Texas,South,32.51934,-94.76459,5342315.484
SO - 0005771,2017-01-02,Pacific Ltd,Wholesale,Product 2,7,1092.1000000000001,7644.700000000001,589.7340000000002,CA,California,West,33.83529,-117.9145,3050087.565
SO - 0006743,2017-01-02,Aromaticos Company,Wholesale,Product 2,5,6231.0,31155.0,4174.77,CA,California,West,34.42083,-119.69819,3050087.565
SO - 0009768,2017-01-02,Eidel Corp,Wholesale,Product 3,5,2653.2000000000003,13266.000000000002,1698.0480000000002,WA,Washington,West,47.30377,-122.21,2642352.432
SO - 0008653,2017-01-02,Mylan Corp,Export,Product 13,5,1078.7,5393.5,841.3860000000001,CA,California,West,34.95303,-120.43572,3720639.645
SO - 000491,2017-01-02,Mydo Corp,Wholesale,Product 15,11,2452.2000000000003,26974.200000000004,1912.7160000000003,FL,Florida,South,26.33981,-81.7787,3299478.315
SO - 0002388,2017-01-02,ALK-Abello Ltd,Wholesale,Product 6,8,2686.7000000000003,21493.600000000002,1423.9510000000002,FL,Florida,South,30.43826,-84.28073,1672229.416
SO - 0002621,2017-01-02,Golden Corp,Distributor,Product 6,6,978.2,5869.200000000001,665.176,CA,California,West,37.54827,-121.98857,1672229.416
SO - 0002866,2017-01-02,Kaymbo Company,Wholesale,Product 1,6,3939.6,23637.6,2600.136,CT,Connecticut,Northeast,41.39482,-73.45401,3016489.209
SO - 0003103,2017-01-02,Pfizer Corp,Distributor,Product 25,11,1695.1000000000001,18646.100000000002,966.207,AZ,Arizona,West,33.37032,-112.58378,5342315.484
SO - 0005390,2017-01-02,Colgate-Pa Group,Distributor,Product 8,10,676.7,6767.0,514.292,NC,North Carolina,South,35.26208,-81.1873,1085037.3290000001
SO - 0006381,2017-01-02,Cogidoo Company,Wholesale,Product 4,7,3102.1,21714.7,1271.8609999999999,OK,Oklahoma,South,36.39559,-97.87839,2885560.824
SO - 0007355,2017-01-02,Thoughtmix Ltd,Wholesale,Product 26,11,3671.6,40387.6,2459.972,GA,Georgia,South,34.03945,-84.35095,5685138.2700000005
SO - 0008619,2017-01-02,Natures Group,Wholesale,Product 2,7,201.0,1407.0,118.58999999999999,CA,California,West,32.71533,-117.15726,3050087.565
SO - 0009103,2017-01-02,Eidel Corp,Wholesale,Product 13,12,1721.9,20662.800000000003,843.731,TX,Texas,South,29.8729,-97.93773,3720639.645
SO - 0009761,2017-01-02,Avamba Company,Wholesale,Product 20,5,1232.8,6164.0,875.2879999999999,CA,California,West,35.76884,-119.24705,2067108.1199999999
SO - 0009952,2017-01-02,Skyvu Group,Distributor,Product 25,8,261.3,2090.4,154.167,NC,North Carolina,South,35.05266,-78.87836,5342315.484
SO - 0002901,2017-01-03,Twinte Group,Wholesale,Product 25,9,261.3,2351.7000000000003,198.58800000000002,CA,California,West,37.36883,-122.03635,5342315.484
SO - 0003602,2017-01-03,Mydo Corp,Wholesale,Product 6,9,6023.3,54209.700000000004,4758.407,GA,Georgia,South,33.85844,-84.3402,1672229.416
SO - 0004487,2017-01-03,Fatz Group,Wholesale,Product 7,9,1045.2,9406.800000000001,522.6,IN,Indiana,Midwest,39.8716,-86.01156,889737.555
SO - 000189,2017-01-03,Viva Ltd,Export,Product 12,9,3953.0,35577.0,3360.0499999999997,IL,Illinois,Midwest,42.06521,-88.153,1356976.996
SO - 0001627,2017-01-03,The Ltd,Distributor,Product 16,10,3959.7000000000003,39597.0,3009.3720000000003,CA,California,West,38.61713,-121.32828,2062061.144
SO - 0003272,2017-01-03,Zava Group,Distributor,Product 11,6,6438.7,38632.2,2575.48,MN,Minnesota,Midwest,44.9133,-93.50329,1230458.484
SO - 0006032,2017-01-03,Zava Group,Distributor,Product 15,5,777.2,3886.0,349.74,IL,Illinois,Midwest,41.77193,-88.09209,3299478.315
SO - 0008909,2017-01-03,US Ltd,Wholesale,Product 20,5,1956.4,9782.0,1584.6840000000002,NC,North Carolina,South,36.07264,-79.79198,2067108.1199999999
SO - 0010169,2017-01-03,SUPERVALU Ltd,Wholesale,Product 1,11,2666.6,29332.6,1786.622,IN,Indiana,Midwest,39.11904,-86.51979,3016489.209
SO - 0003164,2017-01-03,Deseret Group,Wholesale,Product 20,9,884.4,7959.599999999999,353.76,AL,Alabama,South,30.69436,-88.04305,2067108.1199999999
SO - 0003406,2017-01-03,Zava Group,Wholesale,Product 6,7,6137.2,42960.4,4296.04,FL,Florida,South,26.10037,-80.39977,1672229.416
SO - 0005059,2017-01-03,Natures Group,Wholesale,Product 1,8,6090.3,48722.4,2618.829,WA,Washington,West,47.47038,-122.34679,3016489.209
SO - 0008419,2017-01-03,Skyvu Group,Wholesale,Product 17,9,1038.5,9346.5,498.47999999999996,MN,Minnesota,Midwest,44.64969,-93.24272,2119616.824
SO - 0008391,2017-01-03,Zoonoodle Ltd,Wholesale,Product 5,7,3906.1,27342.7,3046.758,PA,Pennsylvania,Northeast,41.40897,-75.66241,3925424.5420000004
SO - 0001163,2017-01-03,Wordpedia Ltd,Distributor,Product 19,8,917.9,7343.2,431.41299999999995,MA,Massachusetts,Northeast,42.41843,-71.10616,1645841.6
SO - 0006750,2017-01-03,NARS Group,Wholesale,Product 20,12,1775.5,21306.0,1083.055,MA,Massachusetts,Northeast,42.3751,-71.10561,2067108.1199999999
SO - 0007819,2017-01-03,US Ltd,Wholesale,Product 15,10,1112.2,11122.0,912.004,MA,Massachusetts,Northeast,42.10148,-72.58981,3299478.315
SO - 0009969,2017-01-03,Tekfly Group,Export,Product 30,9,3973.1,35757.9,2661.9770000000003,CO,Colorado,West,39.80832,-104.93387,1011609.684
SO - 000148,2017-01-03,Realbuzz Ltd,Wholesale,Product 13,10,6452.1,64521.0,5161.68,WI,Wisconsin,Midwest,43.07305,-89.40123,3720639.645
SO - 000696,2017-01-03,Remedy Ltd,Distributor,Product 26,11,3906.1,42967.1,1835.867,MI,Michigan,Midwest,42.36837,-83.35271,5685138.2700000005
SO - 0001559,2017-01-03,Jabbercube Corp,Wholesale,Product 21,7,1989.9,13929.300000000001,835.758,MA,Massachusetts,Northeast,41.63622,-70.93421,959899.2180000001
SO - 0003181,2017-01-03,Skidoo Company,Wholesale,Product 3,7,2251.2000000000003,15758.400000000001,1710.9120000000003,CA,California,West,34.13973,-118.03534,2642352.432
SO - 0004628,2017-01-03,Kazu Corp,Wholesale,Product 4,10,1192.6000000000001,11926.000000000002,918.3020000000001,IL,Illinois,Midwest,40.53839,-88.98528,2885560.824
SO - 0005219,2017-01-03,Oba Company,Distributor,Product 25,11,3999.9,43998.9,3119.922,TX,Texas,South,35.19988,-101.8302,5342315.484
SO - 0006313,2017-01-03,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,California,West,37.9577,-121.29078,2062061.144
SO - 0007008,2017-01-03,Fred's Company,Distributor,Product 19,7,234.5,1641.5,93.80000000000001,CA,California,West,34.08529,-117.9609,1645841.6
SO - 000692,2017-01-03,ALK-Abello Ltd,Export,Product 6,9,3731.9,33587.1,2276.459,TX,Texas,South,32.79333,-96.76651,1672229.416
SO - 000929,2017-01-03,General Company,Export,Product 15,9,261.3,2351.7000000000003,198.58800000000002,IL,Illinois,Midwest,42.24868,-89.07452,3299478.315
SO - 0002644,2017-01-03,Twitterbri Ltd,Distributor,Product 19,9,3852.5,34672.5,2504.125,WA,Washington,West,47.30377,-122.21,1645841.6
SO - 0003210,2017-01-03,Yodoo Ltd,Wholesale,Product 17,12,1085.4,13024.800000000001,640.386,IL,Illinois,Midwest,40.11642,-88.24338,2119616.824
SO - 0003737,2017-01-03,NARS Group,Distributor,Product 25,6,2311.5,13869.0,1733.625,CA,California,West,32.67806,-117.09917,5342315.484
SO - 0005480,2017-01-03,Blogspan Ltd,Wholesale,Product 14,5,2686.7000000000003,13433.500000000002,2122.4930000000004,UT,Utah,West,40.69161,-112.00105,4028698.4090000005
SO - 0006125,2017-01-03,Zooveo Company,Wholesale,Product 29,11,1815.7,19972.7,726.2800000000001,VA,Virginia,South,38.84039,-77.42888,594471.5700000001
SO - 0006192,2017-01-03,Skyvu Group,Export,Product 20,7,2458.9,17212.3,1032.738,GA,Georgia,South,33.85844,-84.3402,2067108.1199999999
SO - 0006469,2017-01-03,Army Group,Distributor,Product 23,5,2237.8,11189.0,939.8760000000001,OH,Ohio,Midwest,39.69599,-84.15044,1135815.7580000001
SO - 0004529,2017-01-04,Valeant Corp,Distributor,Product 29,11,4006.6,44072.6,2844.6859999999997,NE,Nebraska,Midwest,40.92501,-98.34201,594471.5700000001
SO - 0005789,2017-01-04,Skajo Ltd,Wholesale,Product 1,7,1902.8,13319.6,1427.1,TX,Texas,South,26.1948,-98.18362,3016489.209
SO - 0006334,2017-01-04,Tekfly Group,Wholesale,Product 5,12,1125.6000000000001,13507.2,472.75200000000007,CA,California,West,37.36883,-122.03635,3925424.5420000004
SO - 0008860,2017-01-04,Accord Group,Distributor,Product 4,10,5768.7,57687.0,4268.838,FL,Florida,South,27.9378,-82.28592,2885560.824
SO - 0003871,2017-01-04,Janyx Group,Wholesale,Product 13,7,790.6,5534.2,434.83000000000004,GA,Georgia,South,32.5971,-83.65394,3720639.645
SO - 0004981,2017-01-04,Devpoint Group,Wholesale,Product 20,9,1065.3,9587.699999999999,521.997,LA,Louisiana,South,29.95465,-90.07507,2067108.1199999999
SO - 0007239,2017-01-04,Dynazzy Company,Wholesale,Product 25,10,3906.1,39061.0,2695.209,IL,Illinois,Midwest,41.94151,-88.321,5342315.484
SO - 0008957,2017-01-04,Trunyx Ltd,Wholesale,Product 11,12,958.1,11497.2,440.72600000000006,FL,Florida,South,25.75871,-80.39839,1230458.484
SO - 0004451,2017-01-04,Zoomdog Corp,Wholesale,Product 2,12,6559.3,78711.6,5444.219,TX,Texas,South,29.8729,-97.93773,3050087.565
SO - 0004698,2017-01-04,Pfizer Corp,Wholesale,Product 5,8,3953.0,31624.0,1818.38,UT,Utah,West,40.2969,-111.69465,3925424.5420000004
SO - 0005566,2017-01-04,Aromaticos Company,Distributor,Product 18,8,174.20000000000002,1393.6000000000001,142.844,GA,Georgia,South,34.03945,-84.35095,2309499.045
SO - 0005773,2017-01-04,Flipbug Ltd,Wholesale,Product 15,12,3939.6,47275.2,2481.948,MI,Michigan,Midwest,42.65837,-83.14993,3299478.315
SO - 0005782,2017-01-04,Tambee Company,Export,Product 9,6,1132.3,6793.799999999999,611.442,IN,Indiana,Midwest,39.8716,-86.01156,710415.405
SO - 0006390,2017-01-04,Thoughtmix Ltd,Distributor,Product 23,11,5159.0,56749.0,2321.55,IL,Illinois,Midwest,42.03964,-88.32171,1135815.7580000001
SO - 0009014,2017-01-04,Skajo Ltd,Wholesale,Product 14,12,2365.1,28381.199999999997,1348.1069999999997,LA,Louisiana,South,29.95465,-90.07507,4028698.4090000005
SO - 000992,2017-01-04,Golden Corp,Export,Product 13,7,3912.8,27389.600000000002,2778.088,IN,Indiana,Midwest,41.1306,-85.12886,3720639.645
SO - 0004284,2017-01-04,Realbridge Corp,Distributor,Product 29,10,241.20000000000002,2412.0,173.66400000000002,TX,Texas,South,35.19988,-101.8302,594471.5700000001
SO - 0005424,2017-01-04,Avavee Group,Wholesale,Product 22,7,917.9,6425.3,504.845,IN,Indiana,Midwest,39.67674,-86.15616,663601.902
SO - 0009958,2017-01-04,Cadila Ltd,Wholesale,Product 26,8,2358.4,18867.2,1108.448,WA,Washington,West,48.75955,-122.48822,5685138.2700000005
SO - 0009362,2017-01-04,Gigabox Group,Wholesale,Product 30,8,5406.900000000001,43255.200000000004,4217.3820000000005,IA,Iowa,Midwest,42.49567,-96.39053,1011609.684
SO - 000576,2017-01-04,Zooveo Company,Wholesale,Product 15,6,5051.8,30310.800000000003,3435.224,VA,Virginia,South,38.44957,-78.86892,3299478.315
SO - 0001134,2017-01-04,Skajo Ltd,Distributor,Product 4,5,3061.9,15309.5,2449.52,CA,California,West,36.91023,-121.75689,2885560.824
SO - 0002390,2017-01-04,SAFEWAY Ltd,Wholesale,Product 26,8,1159.1000000000001,9272.800000000001,857.734,CA,California,West,38.75212,-121.28801,5685138.2700000005
SO - 0004233,2017-01-04,Skippad Ltd,Wholesale,Product 19,11,3926.2000000000003,43188.200000000004,2630.5540000000005,WA,Washington,West,46.60207,-120.5059,1645841.6
SO - 0005328,2017-01-04,Mydeo Ltd,Wholesale,Product 25,12,1072.0,12864.0,868.32,NJ,New Jersey,Northeast,40.18205,-74.19852,5342315.484
SO - 0006550,2017-01-04,Pixoboo Corp,Wholesale,Product 15,5,2365.1,11825.5,1702.8719999999998,MA,Massachusetts,Northeast,42.46676,-70.94949,3299478.315
SO - 0007051,2017-01-04,BTA Corp,Wholesale,Product 2,10,1132.3,11323.0,566.15,NJ,New Jersey,Northeast,40.85677,-74.12848,3050087.565
SO - 0009885,2017-01-04,Arbor Company,Distributor,Product 2,6,1246.2,7477.200000000001,710.334,WI,Wisconsin,Midwest,44.51916,-88.01983,3050087.565
SO - 0010221,2017-01-04,Voolia Ltd,Distributor,Product 16,11,2432.1,26753.1,1605.186,CA,California,West,33.96168,-118.35313,2062061.144
SO - 000628,2017-01-04,Mydo Corp,Distributor,Product 5,9,241.20000000000002,2170.8,180.9,FL,Florida,South,26.56285,-81.94953,3925424.5420000004
SO - 0003064,2017-01-04,NARS Group,Distributor,Product 1,6,1876.0,11256.0,1106.84,PA,Pennsylvania,Northeast,40.60843,-75.49018,3016489.209
SO - 0003600,2017-01-04,SAFEWAY Ltd,Wholesale,Product 5,5,207.70000000000002,1038.5,145.39000000000001,UT,Utah,West,40.2969,-111.69465,3925424.5420000004
SO - 0004193,2017-01-04,Alembic Ltd,Export,Product 1,6,2941.3,17647.800000000003,1676.541,MN,Minnesota,Midwest,44.73191,-93.21772,3016489.209
SO - 0004880,2017-01-04,Browsebug Company,Distributor,Product 16,7,2318.2000000000003,16227.400000000001,1460.4660000000001,WA,Washington,West,47.61038,-122.20068,2062061.144
SO - 0007400,2017-01-04,Vimbo Company,Wholesale,Product 25,6,3899.4,23396.4,2612.5980000000004,IL,Illinois,Midwest,41.59859,-87.85041,5342315.484
SO - 0008082,2017-01-04,Golden Corp,Distributor,Product 25,11,1835.8,20193.8,1303.418,IA,Iowa,Midwest,41.66113,-91.53017,5342315.484
SO - 0001013,2017-01-05,Kare Corp,Wholesale,Product 26,6,1065.3,6391.799999999999,852.24,MN,Minnesota,Midwest,44.85469,-93.47079,5685138.2700000005
SO - 0002835,2017-01-05,Topiczoom Corp,Distributor,Product 1,7,897.8000000000001,6284.6,430.944,CA,California,West,38.58157,-121.4944,3016489.209
SO - 0003354,2017-01-05,Kazu Corp,Distributor,Product 18,12,5467.2,65606.4,3772.3679999999995,GA,Georgia,South,34.07538,-84.29409,2309499.045
SO - 0004537,2017-01-05,Fivebridge Ltd,Wholesale,Product 2,9,1902.8,17125.2,818.204,CT,Connecticut,Northeast,41.310810000000004,-72.92495,3050087.565
SO - 0006070,2017-01-05,Aibox Company,Distributor,Product 13,9,3852.5,34672.5,1541.0,GA,Georgia,South,31.57851,-84.15574,3720639.645
SO - 0006259,2017-01-05,Flipbug Ltd,Distributor,Product 29,5,1058.6000000000001,5293.000000000001,709.2620000000002,CA,California,West,33.64113,-117.91867,594471.5700000001
SO - 0006384,2017-01-05,Aromaticos Company,Distributor,Product 20,7,1266.3,8864.1,810.432,NC,North Carolina,South,34.75405,-77.43024,2067108.1199999999
SO - 0009343,2017-01-05,GOOD Ltd,Export,Product 22,6,3457.2000000000003,20743.2,2938.6200000000003,MD,Maryland,South,39.084,-77.15276,663601.902
SO - 0008132,2017-01-05,Dazzlesphe Corp,Distributor,Product 6,12,911.2,10934.400000000001,537.608,TX,Texas,South,32.97229,-96.70807,1672229.416
SO - 0009933,2017-01-05,Kazu Corp,Wholesale,Product 10,11,3497.4,38471.4,2937.816,CA,California,West,37.30216,-120.48297,864331.624
SO - 0010352,2017-01-05,Kazu Corp,Wholesale,Product 3,6,1855.9,11135.400000000001,1429.0430000000001,IN,Indiana,Midwest,39.4667,-87.41391,2642352.432
